key,zh
_title,HEYDAY GROUP | 整合營銷
_desc,HEYDAY GROUP（盛世前程）——具有策略屬性和資源屬性的整合營銷公司，24年持續為客戶創造價值。
ls_en,EN
ls_zh,繁
ls_uz,UZ
nav_about,關於我們
nav_history,發展歷程
nav_services,業務優勢
nav_cases,營銷案例
nav_team,團隊
nav_contact,聯絡我們
hero_eyebrow,盛世前程
hero_subtitle,
hero_cta1,探索 HEYDAY
hero_cta2,查看案例
hero_scroll,向下滾動
about_eyebrow,關於 HEYDAY
about_title,什麼是盛世前程？
about_desc,盛世前程是一家具有策略屬性和資源屬性的整合營銷公司。
about_card1_title,體系化營銷策略制定
about_card1_desc,以全職全球化團隊與標準化全球運營平臺，成為中國領先的體系化營銷運營商。
about_card2_title,體驗場景創建
about_card2_desc,疊塊化·自動化·輕量化·智慧化——以自研科技展具集群與優質創意內容，為每一層級市場打造體驗場景。
about_card3_title,內容策略及渠道分發
about_card3_desc,面向消費者的內容創作與國內外多渠道分發。
about_card4_title,千人級別會議策劃運營
about_card4_desc,為千人級別大會提供全流程整合營銷服務——涵蓋策略、統籌、製作、現場運營與傳播。
about_card5_title,海外策略制定與落地運營
about_card5_desc,覆蓋歐洲、美洲、中亞與東南亞的品牌出海全鏈路服務。
about_cap1_kw,策略
about_cap2_kw,場景
about_cap3_kw,傳播
about_cap4_kw,會議
about_cap5_kw,海外
tl_eyebrow,HEYDAY 大事記
tl_title,不斷進步的盛世前程
tl_desc,從移動巡展開創者到全球化整合營銷夥伴的進階之路。
tl_2002_title,巡展入局
tl_2002_desc,於首都北京成立總部，並正式進入移動巡展領域。
tl_2008_title,進軍車企
tl_2008_desc,與車企展開合作，突破地域局限，業務遍及全國。
tl_2015_title,提出大整合
tl_2015_desc,審時度勢，緊跟數字化潮流，與電商合作，落實大整合理念。
tl_2019_title,品牌升級
tl_2019_desc,完成全新品牌形象升級，做中華文化的傳承者，做中國廣告界的百年老店。
tl_2023_title,戰略轉型
tl_2023_desc,真正轉型為具有資源屬性和策略屬性的整合營銷公司。
tl_2024_title,揚帆出海
tl_2024_desc,歐洲、美洲、中亞、東南亞海外項目全面推進、落地，助力品牌名揚國際，製造新浪。
tl_vision,以做中國廣告界百年老店為願景，砥礪向遠，日日自新。
adv_eyebrow,盛世前程
adv_title,獨家優勢
adv_desc,以數十項專利展具打造沉浸式品牌體驗，用科技基因與全域傳播讓營銷精準觸達。
adv_card1_title,自動化體驗展具及市場開拓空間運營
adv_card1_desc,基於盛世自動化體驗展具研發平台，爲品牌打造震撼人心的產品體驗。
adv_card2_title,科技驅動：數十項展具專利認證
adv_card2_desc,我們是一家『偽裝』成廣告公司的科技公司。
adv_card3_title,傳播內容製作與渠道分發
adv_card3_desc,強大的內容創意製作能力，配合精準媒介策略，讓內容高效觸達人群。
adv_card4_title,海外傳播
adv_card4_desc,覆蓋歐洲、美洲、中亞與東南亞的本地化體驗營銷，助力品牌全球化增長。
adv_card5_title,視頻製作及社媒分發
adv_card5_desc,高衝擊力內容創作與社群平台精準分發。
gl_eyebrow,全球佈局
gl_title,在全球範圍內提供整合營銷落地服務
gl_hub_label,全球總部
gl_item1_label,中國區總部 — 盛世前程
gl_item1_city,北京
